topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
0,Spiritual Resilience in the Face of Death,137,"oer, thou, thee, thine, sky, soul, sorrow, evry, tis, heaven",1826.0,1926.0,"Memoir and Poems of Phillis Wheatley, a Native African and a Slave.... (22 chunks); The Poetical Works of George M. Horton: The Colored Bard of North C... (14 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (10 chunks)"
1,Critique of Slaveholder's Use of Religion,113,"religion, slaveholder, antislavery, church, abolitionist, christian, christianity, proslavery, sin, principle",1831.0,1914.0,"Pictures of Slavery in Church and State; Including Personal Reminis... (26 chunks); Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the ... (11 chunks); Poems by a Slave in the Island of Cuba, Recently Liberated; Transla... (7 chunks)"
2,Racial Identity and Prejudice,101,"race, color people, prejudice, equality, social, color man, white people, unit, social equality, unit state",1842.0,1929.0,"The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (17 chunks); Booker T. Washington, Builder of a Civilization (9 chunks); An Autobiography: The Story of My Life and Work (8 chunks)"
3,Faith and Redemption,95,"thou, christ, righteous, lord, jesus, soul, thee, jesus christ, pray, heaven",1789.0,1929.0,"The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (12 chunks); From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (7 chunks); The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (7 chunks)"
4,Ministerial Encounters and Book Sales,93,"book, pastor, sell book, buy book, preach, bought book, buy, church, sell, sold book",1851.0,1895.0,"The Anderson Surpriser. Written After He Was Seventy-Five Years of ... (48 chunks); The Life of Rev. Robert Anderson. Born the 22d Day of February, in ... (33 chunks); A Family Redeemed from Bondage; Being Rev. Edmond Kelley, (the Auth... (2 chunks)"
5,Respectability and Social Standing,92,"folger, matthia, mrs folger, mr folger, pierson, mr pierson, isabella, mrs, catherine, mr stone",1831.0,1898.0,"Fanaticism; Its Source and Influence, Illustrated by the Simple Nar... (78 chunks); Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipat... (3 chunks); John and Mary; or, The Fugitive Slaves, a Tale of South-Eastern Pen... (2 chunks)"
6,Authorial Intentions and Historical Context,92,"narrative, book, author, written, history, story, volume, public, uncle tom, born",1810.0,1980.0,"Narrative of the Life and Adventures of Henry Bibb, an American Sla... (4 chunks); Uncle Tom's Companions: Or, Facts Stranger Than Fiction. A Suppleme... (4 chunks); Narrative and Writings of Andrew Jackson, of Kentucky; Containing a... (3 chunks)"
7,Convict Labor and Punishment in Prisons,87,"convict, prison, warden, prisoner, cell, sentence, sentenc, contract, wall, crime",1848.0,1914.0,"Buried Alive (Behind Prison Walls) for a Quarter of a Century: Life... (62 chunks); Toussaint L'Ouverture: A Biography and Autobiography (4 chunks); The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of ... (3 chunks)"
8,Whipping and Plantation Punishment,85,"whip, mistress, covey, overseer, beat, shirt, goram, field, lashe, kitchen",1810.0,1929.0,"Slavery in the United States: A Narrative of the Life and Adventure... (8 chunks); Fifty Years in Chains, or, The Life of an American Slave (6 chunks); The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (5 chunks)"
9,Conversion to Ministry,85,"elder, bowle, preach, th, brethren, elder bowle, huntington, th went, quarterly, quarterly meet",1810.0,1916.0,"The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (66 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (4 chunks); The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (2 chunks)"
10,African American Preachers in Antebellum Era,83,"jasper, church, preach, mr jasper, rev, preacher, minister, color people, sermon, baptist",1833.0,1929.0,"Men of Mark: Eminent, Progressive and Rising (8 chunks); Biography of Rev. David Smith of the A. M. E. Church; Being a Compl... (7 chunks); Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") ... (5 chunks)"
11,Encounters with Rebel Soldiers,77,"rebel, camp, soldier, regiment, fort, march, officer, wound, army, gen",1782.0,1929.0,"Life and History of the Rev. Elijah P. Marrs, First Pastor of Bearg... (20 chunks); Reminiscences of My Life in Camp with the 33d United States Colored... (11 chunks); Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (5 chunks)"
12,Education and Institutional Development,76,"school, student, tuskegee, education, teacher, farm, department, teach, build, building",1854.0,1929.0,My Larger Education: Being Chapters from My Experience (22 chunks); An Autobiography: The Story of My Life and Work (12 chunks); Up from Slavery: An Autobiography (10 chunks)
13,Whipping and Plantation Punishment,76,"whip, murder, gore, lloyd, plantation, flog, county, patroller, overseer, punishment",1831.0,1918.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (29 chunks); Uncle Tom's Companions: Or, Facts Stranger Than Fiction. A Suppleme... (5 chunks); Fifty Years of Slavery in the United States of America (3 chunks)"
14,Sancho Letters and Petitions,75,"sancho, letter, sancho letter, mrs sancho, mrs, dear, thank, charle street, ign sancho, ign",1782.0,1908.0,"Letters of the Late Ignatius Sancho, An African. In Two Volumes. To... (62 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (4 chunks); Behind the Scenes, or, Thirty years a Slave, and Four Years in the ... (2 chunks)"
15,Limited Rights and Protections for Slaves,74,"law, laws, public opinion, protection, penalty, opinion, legal, white person, court, public",1831.0,1980.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (15 chunks); Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (8 chunks); Narrative of William W. Brown, an American Slave. Written by Himself (6 chunks)"
16,Plantation Life and Labor,73,"cloth, field, plantation, overseer, corn, cotton, oh oh, generally, allowance, pair",1789.0,1917.0,American Slavery As It Is: Testimony of a Thousand Witnesses (18 chunks); Slavery in the United States: A Narrative of the Life and Adventure... (5 chunks); Negro Slavery Described by a Negro: Being the Narrative of Ashton W... (4 chunks)
17,Forced Sale of Family Members,72,"sold, sale, hall, sell, hugh hall, bought, husband, mr beveridge, beveridge, samuel hall",1789.0,1929.0,"The History of Mary Prince, a West Indian Slave. Related by Herself... (4 chunks); Incidents in the Life of a Slave Girl. Written by Herself (3 chunks); Samuel Hall, 47 Years a Slave; A Brief Story of His Life Before and... (3 chunks)"
18,Encounters with Slave Traders,70,"trader, sold, sale, new master, fellow, plantation, dansley, buy, slavetrader, sell",1825.0,1912.0,"The White Slave; or, Memoirs of a Fugitive (10 chunks); Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (4 chunks); Anthony Burns: A History (3 chunks)"
19,The Incompatibility of Liberty and Slavery,68,"liberty, government, constitution, principle, territory, oh set, popular sovereignty, labor, hear voice, war",1836.0,1929.0,"Frederick Douglass The Colored Orator (5 chunks); Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in... (5 chunks); Frederick Douglass (3 chunks)"
20,Religious Experience and Salvation,67,"jesus, lord, christ, soul, sez, pray, baptiz, salvation, ah, sinner",1789.0,1924.0,"A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (6 chunks); The Interesting Narrative of the Life of Olaudah Equiano, or Gustav... (5 chunks); The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (5 chunks)"
21,Christian Faith and Resilience,64,"christ, lord, resurrection, christian, preacher, dr walker, bible, gospel, african preacher, language",1770.0,1908.0,"The African Preacher. An Authentic Narrative (11 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (6 chunks); The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (6 chunks)"
22,African Methodist Episcopal Zion Church and African American Leadership,61,"church, conference, member, pastor, sabbathschool, baptist, bishop, membership, rev, baptist church",1833.0,1924.0,"Life and Labors of Rev. Jordan W. Early, One of the Pioneers of Afr... (22 chunks); Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (6 chunks); Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") ... (4 chunks)"
23,Fugitive Slave Rescue and Resistance,61,"kidnapper, fugitive, carriage, escape, sheriff, postlewaite, benedict, company, jem, party",1836.0,1918.0,"Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (5 chunks); A Narrative of Thomas Smallwood, (Coloured Man:) Giving an Account ... (3 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (3 chunks)"
24,The Justice System in Slave Narratives,61,"court, jury, lewis, judge, attorney, defendant, trial, witness, badger, district attorney",1825.0,1917.0,"Out of the Ditch. A True Story of an Ex-Slave (19 chunks); Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") ... (4 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (4 chunks)"
25,Mistress and Master's Behavior,59,"paul, ritty, cassy, mistress, colonel moore, moore, oh, mamma, ah, miss ritty",1836.0,1897.0,"The Story of a Slave. A Realistic Revelation of a Social Relation o... (34 chunks); The White Slave; or, Memoirs of a Fugitive (8 chunks); Autobiography of a Female Slave (5 chunks)"
27,The Missouri Compromise and the Expansion of Slavery,58,"party, territory, union, constitution, antislavery, political, missouri, north, compromise, northern",1839.0,1917.0,"Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (8 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (7 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (6 chunks)"
26,The Illusion of Freedom in America,58,"liberty, aaron, nation, stockade, chain, human, american, tyrant, million, soul",1839.0,1893.0,"Poems by a Slave in the Island of Cuba, Recently Liberated; Transla... (4 chunks); American Slavery As It Is: Testimony of a Thousand Witnesses (3 chunks); My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life a... (3 chunks)"
28,Traveling to Europe,57,"passenger, steamer, board, ship, bishop, captain, th, sea, deck, voyage",1789.0,1928.0,"An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (8 chunks); The American Fugitive in Europe. Sketches of Places and People Abroad (4 chunks); The Looking-Glass: Being a True Report and Narrative of the Life, T... (4 chunks)"
29,Establishing Settlements in North America,56,"acre, settlement, settler, colony, canada, farm, agent, clear, society, allain",1835.0,1917.0,"A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (15 chunks); Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Co... (11 chunks); Biography of Elder Lott Cary, Late Missionary to Africa. With an Ap... (4 chunks)"
30,Traveling as a Slave,56,"horse, road, cyrus, landlord, start, travel, journey, traveller, walk, stranger",1836.0,1917.0,"The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of ... (5 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (4 chunks); The White Slave; or, Memoirs of a Fugitive (4 chunks)"
31,Family History and Emancipation,55,"northup, deponent, solomon, ft, county, born, lomboko, state newyork, mintus, mendi",1790.0,1922.0,"Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of Ne... (6 chunks); A History of the Amistad Captives: Being a Circumstantial Account o... (5 chunks); A Short History of the Life of Christopher McPherson, Alias Pherson... (2 chunks)"
