chunk_id,doc_id,chunk_index,author,title,date_raw,publication_year,url,text,model_text,topic
fpn-burton-burton__0000,fpn-burton-burton,0,Annie L. Burton,Memories of Childhood's Slavery Days,1909,1909.0,http://docsouth.unc.edu/fpn/burton/menu.html,RECOLLECTIONS OF A HAPPY LIFE The memory of my happy care-free childhood days on the plantation with my little white and black companions is often with me Neither master nor mistress nor neighbors had time to bestow a thought upon us for the great Civil War was raging That great event in American history was a matter wholly outside the realm of our childish interests Of course we heard our elders discuss the various events of the great struggle but it meant nothing to us On the plantation there were ten white children and fourteen colored children Our days were spent roaming about from plantation to plantation not knowing or caring what things were going on in the great world outside our little realm Planting time and harvest time were happy days for us How often at the harvest time the planters discovered cornstalks missing from the ends of the rows and blamed the crows We were called the little fairy devils To the sweet potatoes and peanuts and sugar cane we also helped ourselves Those slaves that were not married served the food from the great house and about half-past eleven they would send the older children with food to the workers in the fields Of course I followed and before we got to the fields we had eaten the food nearly all up When the workers returned home they complained and we were whipped The slaves got their allowance every Monday night of molasses meat corn meal and a kind of flour called dredgings or shorts Perhaps this allowance would be gone before the next Monday night in which case the slaves would steal hogs and chickens Then would come the whipping-post Master himself never whipped his slaves this was left to the overseer We children had no supper and only a little piece of bread or something of the kind in the morning Our dishes consisted of one wooden bowl and oyster shells were our spoons This bowl served for about fifteen children and often the dogs and the ducks and the peafowl had a dip in it Sometimes we had buttermilk and bread in our bowl sometimes greens or bones Our clothes were little homespun cotton slips with short sleeves I never knew what shoes were until I got big enough to earn them myself If a slave man and woman wished to marry a party would be arranged some Saturday night among the slaves The marriage ceremony consisted of the pair jumping over a stick If no children were born within a year or so the wife was sold At New Year's if there was any debt or mortgage on the plantation the extra slaves were taken to Clayton and sold at the court house In this way families were separated When they were getting recruits for the war we were allowed to go to Clayton to see the soldiers I remember at the beginning of the war two colored men were hung in Clayton one Caesar King for killing a blood hound and biting off an overseer's ear the other Dabney Madison for the murder of his master Dabney Madison's master was really shot by a man named Houston who was infatuated with Madison's mistress and who had hired Madison to make the bullets for him Houston escaped after the deed and the blame fell on Dabney Madison as he was the only slave of his master and mistress The clothes of the two victims were hung on two pine trees and no colored person would touch them Since I have grown up I have seen the skeleton of one of these men in the office of a doctor in Clayton After the men were hung the bones were put in an old deserted house Somebody that cared for the bones used to put them in the sun in bright weather and back in the house when it rained Finally the bones disappeared although the boxes that had contained them still remained At one time when they were building barns on the plantation one of the big boys got a little brandy and gave us children all a drink enough to make us drunk Four doctors were sent for but nobody could tell what was the matter with us except they thought we had eaten something poisonous They wanted to give us some castor oil but we refused to take it because we thought that the oil was made from the bones of the,recollection of a happy life the memory of my happy care-free childhood days on the plantation with my little white and black companion is often with me neither master nor mistress nor neighbor had time to bestow a thought upon us for the great civil war was rag that great event in american history was a matter wholly outside the realm of our childish interest of course we heard our elder discuss the various event of the great struggle but it meant noth to us on the plantation there were ten white child and fourteen color child our days were spent roam about from plantation to plantation not know or car what thing were going on in the great world outside our little realm plant time and harvest time were happy days for us how often at the harvest time the planter discover cornstalk mis from the ends of the rows and blam the crow we were cal the little fairy devil to the sweet potato and peanut and sugar cane we also help ourselve those slave that were not marry serve the food from the great house and about half-past eleven they would send the older child with food to the worker in the field of course i follow and before we got to the field we had eaten the food nearly all up when the worker return home they complain and we were whip the slave got their allowance every monday night of molass meat corn meal and a kind of flour cal dredging or short perhap this allowance would be gone before the next monday night in which case the slave would steal hogs and chicken then would come the whipping-post master himself never whip his slave this was left to the overseer we child had no supper and only a little piece of bread or someth of the kind in the morn our dishe consist of one wooden bowl and oyster shell were our spoon this bowl serve for about fifteen child and often the dogs and the duck and the peafowl had a dip in it sometime we had buttermilk and bread in our bowl sometime green or bone our clothe were little homespun cotton slip with short sleeve i never knew what sho were until i got big enough to earn them myself if a slave man and woman wish to marry a party would be arrang some saturday night among the slave the marriage ceremony consist of the pair jump over a stick if no child were born within a year or so the wife was sold at new year' if there was any debt or mortgage on the plantation the extra slave were taken to clayton and sold at the court house in this way family were separat when they were get recruit for the war we were allow to go to clayton to see the soldier i remember at the begin of the war two color men were hung in clayton one caesar king for kil a blood hound and bit off an overseer' ear the other dabney madison for the murder of his master dabney madison' master was really shot by a man name houston who was infatuat with madison' mistress and who had hir madison to make the bullet for him houston escap after the deed and the blame fell on dabney madison as he was the only slave of his master and mistress the clothe of the two victim were hung on two pine tree and no color person would touch them since i have grown up i have seen the skeleton of one of these men in the office of a doctor in clayton after the men were hung the bone were put in an old desert house somebody that car for the bone used to put them in the sun in bright weather and back in the house when it rain finally the bone disappear although the box that had contain them still remain at one time when they were build barn on the plantation one of the big boys got a little brandy and gave us child all a drink enough to make us drunk four doctor were sent for but nobody could tell what was the matter with us except they thought we had eaten someth poisonous they want to give us some castor oil but we refus to take it because we thought that the oil was made from the bone of the,38
fpn-burton-burton__0001,fpn-burton-burton,1,Annie L. Burton,Memories of Childhood's Slavery Days,1909,1909.0,http://docsouth.unc.edu/fpn/burton/menu.html,barns on the plantation one of the big boys got a little brandy and gave us children all a drink enough to make us drunk Four doctors were sent for but nobody could tell what was the matter with us except they thought we had eaten something poisonous They wanted to give us some castor oil but we refused to take it because we thought that the oil was made from the bones of the dead men we had seen Finally we told about the big white boy giving us the brandy and the mystery was cleared up Young as I was then I remember this conversation between master and mistress on master's return from the gate one day when he had received the latest news William what is the news from the seat of war A great battle was fought at Bull Run and the Confederates won he replied Oh good good said mistress and what did Jeff Davis say Look out for the blockade I do not know what the end may be soon he answered What does Jeff Davis mean by that she asked Sarah Anne I don't know unless he means that the niggers will be free O my God what shall we do I presume he said we shall have to put our boys to work and hire help But she said what will the niggers do if they are free Why they will starve if we don't keep them Oh well he said let them wander if they will not stay with their owners I don't doubt that many owners have been good to their slaves and they would rather remain with their owners than wander about without home or country My mistress often told me that my father was a planter who owned a plantation about two miles from ours He was a white man born in Liverpool England He died in Lewisville Alabama in the year I will venture to say that I only saw my father a dozen times when I was about four years old and those times I saw him only from a distance as he was driving by the great house of our plantation Whenever my mistress saw him going by she would take me by the hand and run out upon the piazza and exclaim Stop there I say Don't you want to see and speak to and caress your darling child She often speaks of you and wants to embrace her dear father See what a bright and beautiful daughter she is a perfect picture of yourself Well I declare you are an affectionate father I well remember that whenever my mistress would speak thus and upbraid him he would whip up his horse and get out of sight and hearing as quickly as possible My mistress's action was of course intended to humble and shame my father I never spoke to him and cannot remember that he ever noticed me or in any way acknowledged me to be his child My mother and my mistress were children together and grew up to be mothers together My mother was the cook in my mistress's household One morning when master had gone to Eufaula my mother and my mistress got into an argument the consequence of which was that my mother was whipped for the first time in her life Whereupon my mother refused to do any more work and ran away from the plantation For three years we did not see her again Our plantation was one of several thousand acres comprising large level fields upland and considerable forests of Southern pine Cotton corn sweet potatoes sugar cane wheat and rye were the principal crops raised on the plantation It was situated near the P----- River and about twenty-three miles from Clayton Ala One day my master heard that the Yankees were coming our way and he immediately made preparations to get his goods and valuables out of their reach The big six-mule team was brought to the smoke-house door and loaded with hams and provisions After being loaded the team was put in the care of two of the most trustworthy and valuable slaves that my master owned and driven away It was master's intention to have these things taken to a swamp and there concealed in a pit that had recently been made for the purpose But just before the team left the main road for the by-road that led to the swamp the,barn on the plantation one of the big boys got a little brandy and gave us child all a drink enough to make us drunk four doctor were sent for but nobody could tell what was the matter with us except they thought we had eaten someth poisonous they want to give us some castor oil but we refus to take it because we thought that the oil was made from the bone of the dead men we had seen finally we told about the big white boy giv us the brandy and the mystery was clear up young as i was then i remember this conversation between master and mistress on master' return from the gate one day when he had receive the latest news william what is the news from the seat of war a great battle was fought at bull run and the confederate won he reply oh good good said mistress and what did jeff davis say look out for the blockade i do not know what the end may be soon he answer what does jeff davis mean by that she ask sarah anne i don't know unless he mean that the nigger will be free o my god what shall we do i presume he said we shall have to put our boys to work and hire help but she said what will the nigger do if they are free why they will starve if we don't keep them oh well he said let them wander if they will not stay with their owner i don't doubt that many owner have been good to their slave and they would rather remain with their owner than wander about without home or country my mistress often told me that my father was a planter who own a plantation about two mile from ours he was a white man born in liverpool england he died in lewisville alabama in the year i will venture to say that i only saw my father a dozen time when i was about four year old and those time i saw him only from a distance as he was driv by the great house of our plantation whenever my mistress saw him going by she would take me by the hand and run out upon the piazza and exclaim stop there i say don't you want to see and speak to and caress your darl child she often speak of you and want to embrace her dear father see what a bright and beautiful daughter she is a perfect picture of yourself well i declare you are an affectionate father i well remember that whenever my mistress would speak thus and upbraid him he would whip up his horse and get out of sight and hear as quickly as possible my mistress' action was of course intend to humble and shame my father i never spoke to him and cannot remember that he ever notic me or in any way acknowledg me to be his child my mother and my mistress were child together and grew up to be mother together my mother was the cook in my mistress' household one morn when master had gone to eufaula my mother and my mistress got into an argument the consequence of which was that my mother was whip for the first time in her life whereupon my mother refus to do any more work and ran away from the plantation for three year we did not see her again our plantation was one of several thousand acre compris large level field upland and considerable forest of southern pine cotton corn sweet potato sugar cane wheat and rye were the principal crop rais on the plantation it was situat near the p----- river and about twenty-three mile from clayton ala one day my master heard that the yankee were com our way and he immediately made preparation to get his good and valuable out of their reach the big six-mule team was brought to the smoke-house door and load with hams and provision after being load the team was put in the care of two of the most trustworthy and valuable slave that my master own and driven away it was master' intention to have these thing taken to a swamp and there conceal in a pit that had recently been made for the purpose but just before the team left the main road for the by-road that led to the swamp the,38
fpn-burton-burton__0002,fpn-burton-burton,2,Annie L. Burton,Memories of Childhood's Slavery Days,1909,1909.0,http://docsouth.unc.edu/fpn/burton/menu.html,loaded with hams and provisions After being loaded the team was put in the care of two of the most trustworthy and valuable slaves that my master owned and driven away It was master's intention to have these things taken to a swamp and there concealed in a pit that had recently been made for the purpose But just before the team left the main road for the by-road that led to the swamp the two slaves were surprised by the Yankees who at once took possession of the provisions and started the team toward Clayton where the Yankees had headquarters The road to Clayton ran past our plantation One of the slave children happened to look up the road and saw the Yankees coming and gave warning Whereupon my master left unceremoniously for the woods and remained concealed there for five days The niggers had run away whenever they got a chance but now it was master's and the other white folks' turn to run The Yankees rode up to the piazza of the great house and inquired who owned the plantation They gave orders that nothing must be touched or taken away as they intended to return shortly and take possession My mistress and the slaves watched for their return day and night for more than a week but the Yankees did not come back One morning in April my master got the news that the Yankees had left Mobile Bay and crossed the Confederate lines and that the Emancipation Proclamation had been signed by President Lincoln Mistress suggested that the slaves should not be told of their freedom but master said he would tell them because they would soon find it out even if he did not tell them Mistress however said she could keep my mother's three children for my mother had now been gone so long All the slaves left the plantation upon the news of their freedom except those who were feeble or sickly With the help of these the crops were gathered My mistress and her daughters had to go to the kitchen and to the washtub My little halfbrother Henry and myself had to gather chips and help all we could My sister Caroline who was twelve years old could help in the kitchen After the war the Yankees took all the good mules and horses from the plantation and left their old army stock We children chanced to come across one of the Yankees' old horses that had U S branded on him We called him Old Yank and got him fattened up One day in August six of us children took Old Yank and went away back on the plantation for watermelons Coming home we thought we would make the old horse trot When Old Yank commenced to trot our big melons dropped off but we couldn't stop the horse for some time Finally one of the big boys went back and got some more melons and left us eating what we could find of the ones that had been dropped Then all we six with our melons got on Old Yank and went home We also used to hitch Old Yank into a wagon and get wood But one sad day in the fall the Yankees came back again and gathered up their old stock and took Old Yank away One day mistress sent me out to do some churning under a tree I went to sleep and jerked the churn over on top of me and consequently got a whipping My mother came for us at the end of the year and demanded that her children be given up to her This mistress refused to do and threatened to set the dogs on my mother if she did not at once leave the place My mother went away and remained with some of the neighbors until supper time Then she got a boy to tell Caroline to come down to the fence When she came my mother told her to go back and get Henry and myself and bring us down to the gap in the fence as quick as she could Then my mother took Henry in her arms and my sister carried me on her back We climbed fences and crossed fields and after several hours came to a little hut which my mother had secured on a plantation We had no more than reached the place and made a little fire when master's two sons,load with hams and provision after being load the team was put in the care of two of the most trustworthy and valuable slave that my master own and driven away it was master' intention to have these thing taken to a swamp and there conceal in a pit that had recently been made for the purpose but just before the team left the main road for the by-road that led to the swamp the two slave were surpris by the yankee who at once took possession of the provision and start the team toward clayton where the yankee had headquarter the road to clayton ran past our plantation one of the slave child happen to look up the road and saw the yankee com and gave warn whereupon my master left unceremoniously for the wood and remain conceal there for five days the nigger had run away whenever they got a chance but now it was master' and the other white folk turn to run the yankee rode up to the piazza of the great house and inquir who own the plantation they gave order that noth must be touch or taken away as they intend to return shortly and take possession my mistress and the slave watch for their return day and night for more than a week but the yankee did not come back one morn in april my master got the news that the yankee had left mobile bay and cros the confederate line and that the emancipation proclamation had been sign by president lincoln mistress suggest that the slave should not be told of their freedom but master said he would tell them because they would soon find it out even if he did not tell them mistress however said she could keep my mother' three child for my mother had now been gone so long all the slave left the plantation upon the news of their freedom except those who were feeble or sickly with the help of these the crop were gather my mistress and her daughter had to go to the kitchen and to the washtub my little halfbrother henry and myself had to gather chip and help all we could my sister caroline who was twelve year old could help in the kitchen after the war the yankee took all the good mule and horse from the plantation and left their old army stock we child chanc to come across one of the yankee old horse that had u s brand on him we cal him old yank and got him fatten up one day in august six of us child took old yank and went away back on the plantation for watermelon com home we thought we would make the old horse trot when old yank commenc to trot our big melon drop off but we couldn't stop the horse for some time finally one of the big boys went back and got some more melon and left us eat what we could find of the ones that had been drop then all we six with our melon got on old yank and went home we also used to hitch old yank into a wagon and get wood but one sad day in the fall the yankee came back again and gather up their old stock and took old yank away one day mistress sent me out to do some churn under a tree i went to sleep and jerk the churn over on top of me and consequently got a whip my mother came for us at the end of the year and demand that her child be given up to her this mistress refus to do and threaten to set the dogs on my mother if she did not at once leave the place my mother went away and remain with some of the neighbor until supper time then she got a boy to tell caroline to come down to the fence when she came my mother told her to go back and get henry and myself and bring us down to the gap in the fence as quick as she could then my mother took henry in her arms and my sister carry me on her back we climb fence and cros field and after several hour came to a little hut which my mother had secur on a plantation we had no more than reach the place and made a little fire when master' two sons,38
fpn-burton-burton__0003,fpn-burton-burton,3,Annie L. Burton,Memories of Childhood's Slavery Days,1909,1909.0,http://docsouth.unc.edu/fpn/burton/menu.html,get Henry and myself and bring us down to the gap in the fence as quick as she could Then my mother took Henry in her arms and my sister carried me on her back We climbed fences and crossed fields and after several hours came to a little hut which my mother had secured on a plantation We had no more than reached the place and made a little fire when master's two sons rode up and demanded that the children be returned My mother refused to give us up Upon her offering to go with them to the Yankee headquarters to find out if it were really true that all negroes had been made free the young men left and troubled us no more The cabin that was now our home was made of logs It had one door and an opening in one wall with an inside shutter was the only window The door was fastened with a latch Our beds were some straw There were six in our little family my mother Caroline Henry two other children that my mother had brought with her upon her return and myself The man on whose plantation this cabin stood hired my mother as cook and gave us this little home We children used to sell blueberries and plums that we picked One day the man on whom we depended for our home and support left Then my mother did washing by the day for whatever she could get We were sent to get cold victuals from hotels and such places A man wanting hands to pick cotton my brother Henry and I were set to help in this work We had to go to the cotton field very early every morning For this work we received forty cents for every hundred pounds of cotton we picked Caroline was hired out to take care of a baby In another man hired the plantation on which our hut stood and we moved into Clayton to a little house my mother secured there A rich lady came to our house one day looking for some one to take care of her little daughter I was taken and adopted into this family This rich lady was Mrs E M Williams a music teacher the wife of a lawyer We called her Mis' Mary Some rich people in Clayton who had owned slaves opened the Methodist church on Sundays and began the work of teaching the negroes My new mistress sent me to Sunday school every Sunday morning and I soon got so that I could read Mis' Mary taught me every day at her knee I soon could read nicely and went through Sterling's Second Reader and then into McGuthrie's Third Reader The first piece of poetry I recited in Sunday school was taught to me by Mis' Mary during the week Mis' Mary's father-in-law an ex-judge of Clayton Alabama heard me recite it and thought it was wonderful It was this I am glad to see you little bird It was your sweet song I heard What was it I heard you say Give me crumbs to eat today Here are crumbs I brought for you Eat your dinner eat away Come and see us every day After this Mis' Mary kept on with my studies and taught me to write As I grew older she taught me to cook and how to do housework During this time Mis' Mary had given my mother one dollar a month in return for my services now as I grew up to young womanhood I thought I would like a little money of my own Accordingly Mis' Mary began to pay me four dollars a month besides giving me my board and clothes For two summers she let me out while she was away and I got five dollars a month While I was with Mis' Mary I had my first sweetheart one of the young fellows who attended Sunday school with me Mis' Mary however objected to the young man's coming to the house to call because she did not think I was old enough to have a sweetheart I owe a great deal to Mis' Mary for her good training of me in honesty uprightness and truthfulness She told me that when I went out into the world all white folks would not treat me as she had but that I must not feel bad about it but just do what I,get henry and myself and bring us down to the gap in the fence as quick as she could then my mother took henry in her arms and my sister carry me on her back we climb fence and cros field and after several hour came to a little hut which my mother had secur on a plantation we had no more than reach the place and made a little fire when master' two sons rode up and demand that the child be return my mother refus to give us up upon her offer to go with them to the yankee headquarter to find out if it were really true that all negro had been made free the young men left and troubl us no more the cabin that was now our home was made of logs it had one door and an open in one wall with an inside shutter was the only window the door was fasten with a latch our beds were some straw there were six in our little family my mother caroline henry two other child that my mother had brought with her upon her return and myself the man on whose plantation this cabin stood hir my mother as cook and gave us this little home we child used to sell blueberry and plum that we pick one day the man on whom we depend for our home and support left then my mother did wash by the day for whatever she could get we were sent to get cold victual from hotel and such place a man want hand to pick cotton my brother henry and i were set to help in this work we had to go to the cotton field very early every morn for this work we receive forty cent for every hundr pound of cotton we pick caroline was hir out to take care of a baby in another man hir the plantation on which our hut stood and we move into clayton to a little house my mother secur there a rich lady came to our house one day look for some one to take care of her little daughter i was taken and adopt into this family this rich lady was mrs e m william a music teacher the wife of a lawyer we cal her mis mary some rich people in clayton who had own slave open the methodist church on sunday and began the work of teach the negro my new mistress sent me to sunday school every sunday morn and i soon got so that i could read mis mary taught me every day at her knee i soon could read nicely and went through sterling' second reader and then into mcguthrie' third reader the first piece of poetry i recit in sunday school was taught to me by mis mary dur the week mis mary' father-in-law an ex-judge of clayton alabama heard me recite it and thought it was wonderful it was this i am glad to see you little bird it was your sweet song i heard what was it i heard you say give me crumb to eat today here are crumb i brought for you eat your dinner eat away come and see us every day after this mis mary kept on with my study and taught me to write as i grew older she taught me to cook and how to do housework dur this time mis mary had given my mother one dollar a month in return for my service now as i grew up to young womanhood i thought i would like a little money of my own accordingly mis mary began to pay me four dollar a month beside giv me my board and clothe for two summer she let me out while she was away and i got five dollar a month while i was with mis mary i had my first sweetheart one of the young fellow who attend sunday school with me mis mary however object to the young man' com to the house to call because she did not think i was old enough to have a sweetheart i owe a great deal to mis mary for her good train of me in honesty uprightness and truthfulness she told me that when i went out into the world all white folk would not treat me as she had but that i must not feel bad about it but just do what i,-1
fpn-burton-burton__0004,fpn-burton-burton,4,Annie L. Burton,Memories of Childhood's Slavery Days,1909,1909.0,http://docsouth.unc.edu/fpn/burton/menu.html,young man's coming to the house to call because she did not think I was old enough to have a sweetheart I owe a great deal to Mis' Mary for her good training of me in honesty uprightness and truthfulness She told me that when I went out into the world all white folks would not treat me as she had but that I must not feel bad about it but just do what I was employed to do and if I wasn't satisfied to go elsewhere but always to carry an honest name One Sunday when my sweetheart walked to the gate with me Mis' Mary met him and told him she thought I was too young for him and that she was sending me to Sunday school to learn not to catch a beau It was a long while before he could see me again - not until later in the season in watermelon time when Mis' Mary and my mother gave me permission to go to a watermelon party one Sunday afternoon Mis' Mary did not know however that my sweetheart had planned to escort me We met around the corner of the house and after the party he left me at the same place After that I saw him occasionally at barbecues and parties I was permitted to go with him some evenings to church but my mother always walked ahead or behind me and the young man We went together for four years During that time although I still called Mis' Mary's my home I had been out to service in one or two families Finally my mother and Mis' Mary consented to our marriage and the wedding day was to be in May The winter before that May I went to service in the family of Dr Drury in Eufaula Just a week before I left Clayton I dreamed that my sweetheart died suddenly The night before I was to leave we were invited out to tea He told me he had bought a nice piece of poplar wood with which to make a table for our new home When I told him my dream he said Don't let that trouble you there is nothing in dreams But one month from that day he died and his coffin was made from the piece of poplar wood he had bought for the table After his death I remained in Clayton for two or three weeks with my people and then went back to Eufaula where I stayed two years My sweetheart's death made a profound impression on me and I began to pray as best I could Often I remained all night on my knees Going on an excursion to Macon Georgia one time I liked the place so well that I did not go back to Eufaula I got a place as cook in the family of an Episcopal clergyman and remained with them eight years leaving when the family moved to New Orleans During these eight years my mother died in Clayton and I had to take the three smallest children into my care My oldest sister was now married and had a son I now went to live with a Mrs Maria Campbell a colored woman who adopted me and gave me her name Mrs Campbell did washing and ironing for her living While living with her I went six months to Lewis' High School in Macon Then I went to Atlanta and obtained a place as first-class cook with Mr E N Inman But I always considered Mrs Campbell's my home I remained about a year with Mr Inman and received as wages ten dollars a month One day when the family were visiting in Memphis I chanced to pick up a newspaper and read the of a Northern family for a cook to go to Boston I went at once to the address given and made agreement to take the place but told the people that I could not leave my present position until Mr Inman returned home Mr and Mrs Inman did not want to let me go but I made up my mind to go North The Northern family whose service I was to enter had returned to Boston before I left and had made arrangements with a friend Mr Bullock to see me safely started North After deciding to go North I went to Macon to make arrangements with Mrs Campbell for the care of my two,young man' com to the house to call because she did not think i was old enough to have a sweetheart i owe a great deal to mis mary for her good train of me in honesty uprightness and truthfulness she told me that when i went out into the world all white folk would not treat me as she had but that i must not feel bad about it but just do what i was employ to do and if i wasn't satisfy to go elsewhere but alway to carry an honest name one sunday when my sweetheart walk to the gate with me mis mary met him and told him she thought i was too young for him and that she was send me to sunday school to learn not to catch a beau it was a long while before he could see me again - not until later in the season in watermelon time when mis mary and my mother gave me permission to go to a watermelon party one sunday afternoon mis mary did not know however that my sweetheart had plan to escort me we met around the corner of the house and after the party he left me at the same place after that i saw him occasionally at barbecue and party i was permit to go with him some evening to church but my mother alway walk ahead or behind me and the young man we went together for four year dur that time although i still cal mis mary' my home i had been out to service in one or two family finally my mother and mis mary consent to our marriage and the wed day was to be in may the winter before that may i went to service in the family of dr drury in eufaula just a week before i left clayton i dream that my sweetheart died suddenly the night before i was to leave we were invit out to tea he told me he had bought a nice piece of poplar wood with which to make a table for our new home when i told him my dream he said don't let that trouble you there is noth in dream but one month from that day he died and his coffin was made from the piece of poplar wood he had bought for the table after his death i remain in clayton for two or three week with my people and then went back to eufaula where i stay two year my sweetheart' death made a profound impression on me and i began to pray as best i could often i remain all night on my knee going on an excursion to macon georgia one time i lik the place so well that i did not go back to eufaula i got a place as cook in the family of an episcopal clergyman and remain with them eight year leav when the family move to new orlean dur these eight year my mother died in clayton and i had to take the three smallest child into my care my oldest sister was now marry and had a son i now went to live with a mrs maria campbell a color woman who adopt me and gave me her name mrs campbell did wash and iron for her liv while liv with her i went six month to lewis high school in macon then i went to atlanta and obtain a place as first-class cook with mr e n inman but i alway consider mrs campbell' my home i remain about a year with mr inman and receive as wage ten dollar a month one day when the family were visit in memphis i chanc to pick up a newspaper and read the of a northern family for a cook to go to boston i went at once to the address given and made agreement to take the place but told the people that i could not leave my present position until mr inman return home mr and mrs inman did not want to let me go but i made up my mind to go north the northern family whose service i was to enter had return to boston before i left and had made arrangement with a friend mr bullock to see me safely start north after decid to go north i went to macon to make arrangement with mrs campbell for the care of my two,-1
fpn-burton-burton__0005,fpn-burton-burton,5,Annie L. Burton,Memories of Childhood's Slavery Days,1909,1909.0,http://docsouth.unc.edu/fpn/burton/menu.html,Inman returned home Mr and Mrs Inman did not want to let me go but I made up my mind to go North The Northern family whose service I was to enter had returned to Boston before I left and had made arrangements with a friend Mr Bullock to see me safely started North After deciding to go North I went to Macon to make arrangements with Mrs Campbell for the care of my two sisters who lived with her One sister was now about thirteen and the other fifteen both old enough to do a little for themselves My brother was dead He went to Brunswick in and died there of the yellow fever in One sister I brought in later years to Boston I stayed in Macon two weeks and was in Atlanta three or four days before leaving for the North About the th of June I arrived at the Old Colony Station in Boston and had my first glimpse of the country I had heard so much about From Boston I went to Newtonville where I was to work The gentleman whose service I was to enter Mr E N Kimball was waiting at the station for me and drove me to his home on Warner Street For a few days until I got somewhat adjusted to my new circumstances I had no work to do On June th the family took me with them to Auburndale But in spite of the kindness of Mrs Kimball and the colored nurse I grew very homesick for the South and would often look in the direction of my old home and cry The washing a kind of work I knew nothing about was given to me but I could not do it and it was finally given over to a hired woman I had to do the ironing of the fancy clothing for Mrs Kimball and the children About five or six weeks after my arrival Mrs Kimball and the children went to the White Mountains for the summer and I had more leisure Mr Kimball went up to the mountains every Saturday night to stay with his family over Sunday but he and his father-in-law were at home other nights and I had to have dinner for them To keep away the homesickness and loneliness as much as possible I made acquaintance with the hired girl across the street One morning I climbed up into the cherry tree that grew between Mr Kimball's yard and the yard of his next-door neighbor Mr Roberts I was thinking of the South and as I picked the cherries I sang a Southern song Mr Roberts heard me and gave me a dollar for the song By agreement Mrs Kimball was to give me three dollars and a half a week instead of four until the difference amounted to my fare from the South after that I was to have four dollars I had however received but little money In the fall after the family came home we had a little difficulty about my wages and I left and came into Boston One of my Macon acquaintances had come North before me and now had a position as cook in a house on Columbus Avenue I looked this girl up Then I went to a lodging-house for colored people on Kendall Street and spent one night there Mrs Kimball had refused to give me a recommendation because she wanted me to stay with her and thought the lack of a recommendation would be an inducement In the lodging-house I made acquaintance with a colored girl who took me to an intelligence office The man at the desk said he would give me a card to take to Springfield Street on receipt of fifty cents I had never heard of an office of this kind and asked a good many questions After being assured that my money would be returned in case I did not accept the situation I paid the fifty cents and started to find the address on the card Being ignorant of the scheme of street numbering I inquired of a woman whom I met where No was This woman asked me if I was looking for work and when I told her I was she said a friend of hers on Springfield Street wanted a servant immediately Of course I went with this lady and after a conference with the mistress of the house as to my ability,inman return home mr and mrs inman did not want to let me go but i made up my mind to go north the northern family whose service i was to enter had return to boston before i left and had made arrangement with a friend mr bullock to see me safely start north after decid to go north i went to macon to make arrangement with mrs campbell for the care of my two sister who live with her one sister was now about thirteen and the other fifteen both old enough to do a little for themselve my brother was dead he went to brunswick in and died there of the yellow fever in one sister i brought in later year to boston i stay in macon two week and was in atlanta three or four days before leav for the north about the th of june i arrive at the old colony station in boston and had my first glimpse of the country i had heard so much about from boston i went to newtonville where i was to work the gentleman whose service i was to enter mr e n kimball was wait at the station for me and drove me to his home on warner street for a few days until i got somewhat adjust to my new circumstance i had no work to do on june th the family took me with them to auburndale but in spite of the kindness of mrs kimball and the color nurse i grew very homesick for the south and would often look in the direction of my old home and cry the wash a kind of work i knew noth about was given to me but i could not do it and it was finally given over to a hir woman i had to do the iron of the fancy cloth for mrs kimball and the child about five or six week after my arrival mrs kimball and the child went to the white mountain for the summer and i had more leisure mr kimball went up to the mountain every saturday night to stay with his family over sunday but he and his father-in-law were at home other night and i had to have dinner for them to keep away the homesickness and loneliness as much as possible i made acquaintance with the hir girl across the street one morn i climb up into the cherry tree that grew between mr kimball' yard and the yard of his next-door neighbor mr robert i was think of the south and as i pick the cherry i sang a southern song mr robert heard me and gave me a dollar for the song by agreement mrs kimball was to give me three dollar and a half a week instead of four until the difference amount to my fare from the south after that i was to have four dollar i had however receive but little money in the fall after the family came home we had a little difficulty about my wage and i left and came into boston one of my macon acquaintance had come north before me and now had a position as cook in a house on columbus avenue i look this girl up then i went to a lodging-house for color people on kendall street and spent one night there mrs kimball had refus to give me a recommendation because she want me to stay with her and thought the lack of a recommendation would be an inducement in the lodging-house i made acquaintance with a color girl who took me to an intelligence office the man at the desk said he would give me a card to take to springfield street on receipt of fifty cent i had never heard of an office of this kind and ask a good many question after being assur that my money would be return in case i did not accept the situation i paid the fifty cent and start to find the address on the card being ignorant of the scheme of street number i inquir of a woman whom i met where no was this woman ask me if i was look for work and when i told her i was she said a friend of hers on springfield street want a servant immediately of course i went with this lady and after a conference with the mistress of the house as to my ability,-1
