Topic,Count,Name,Representation,Representative_Docs
-1,438,-1_mistress_toussaint_mrs_freedom,"['mistress', 'toussaint', 'mrs', 'freedom', 'church', 'brother', 'thou', 'dollar', 'horse', 'plantation']","[""pleasure i embrace this favourable opportunity to write to you to inform you that we have arrive safe and are all well we have been kindly receive and are doing tolerably well at present on the president' plantation we are all satisfy for the present except adam please to write to our people and direct them to send their letter to you and please when you receive them send them to us when you write we all wish our particular respect present to them your humble servant margaret patterson mr b lundy a highly esteem female correspondent speak of the recent benevolent conduct of d patterson state that she visit his dwel on the day when his lave set out for baltimore and gave the follow account of the solemn part the impressive scene was now about to be clos solemn concern rest on the face of the mistress at part with those to whom her foster care had contribut so much i saw the liberat captive receive her hand with sobs and tear and i must confess that my own eyes could scarce retain or re-absorb the chrystal treasure forc from its cell by this act of justice seriousness pervad the countenance of many spectator the master after tak a solemn leave walk into his house with a cheerful mein bles were his feeling that seem to say i have wash my hand in innocency and can now sit down under my own vine in peace this worthy couple have long been member of the baptist society and often said they could not rest easy until someth should be done for the enlargement of their slave may we not indulge the hope that this is a break of the ice in this frozen state or must we stand chil and look in vain for another couple that shall come under the refin power of truth and go and do likewise extraordinary munificence in a paragraph has lately gone the round of the paper announc that a gentleman of virginia had emancipat upward of eighty slave and charter a vessel to send them at his own expense to hayti but without giv the name of the author of so distinguish an act of munificence we think it due to justice says the norfolk herald to supply this deficiency and to add the follow fact which have been communicat to us by gentlemen familiar with them as well as by capt russell one of the owner of the brig hannah and elizabeth of baltimore the vessel charter the gentleman who has thus distinguish himself is mr david minge of charle city county lying near sandy point on jame river captain russell inform that there were put on board the hannah and elizabeth eighty seven colour people of different ages from three month to forty year being all the slave mr m own except two old men whom he had likewise manumit but who being past service he retain and support them the value of these negro at the price now going might be estimat at about twenty-six thousand dollar and mr minge expend previous to their embarkation about twelve hundr dollar in purchas plough hoes iron and other article of husbandry for them beside provid them with several suit of clothe to each provision grocery cook utensil and every thing which he suppos they might require for their comfort dur the passage and for their use after their arrival out he also paid sixteen hundr dollar for the charter of the vessel but mr minge' munificence does not end here on the bank of the river as they were about to go on board he had a peck of dollar brought down and cal them all around him under a tree distribut the board among them in such sums and under such regulation that each individual did or would receive seven dollar by this provision mr m calculat that his emigrant would be enabl to commence the cultivation of the soil immediately after their arrival without being dependent on president boyer for any favour whatever unless the permission to improve the government land might be so consider mr minge is about twenty-four or twenty-five year of age unmarry and is unincumber in every respect possess an ample fortune and has receive the benefit of a collegiate education at harvard university he assign no other motive for hav fre his slave and for his subsequent acts of generosity toward them than that"", ""over cheek and brow of the staunch vindicator of their different party chief sometime inde the argument ran so high that the disputant went home with visage slightly disfigur by contact with oppos fist but these wound soon heal and over a bottle of good old wine such trifl episode were quite forgotten for two year this little family quietly pursu the regular avocation of the farm they made excellent crop in proportion to the number of hand employ and the business of the store was at the same time very lucrative the brother bought and ship cotton corn and bacon and kept for sale at a good profit all kind of good that were requir by their various customer dur the winter the slave had many opportunity of earn pocket money flat-boat load with cotton while com down the river were frequently stove on the rock in the muscle shoal at the foot of which bainbridge is situat the cotton becom wet was thus render unfit for market unless the bale were open and thoroughly dry this furnish employment for the negro on sunday carefully they spread the damp cotton on board or rock in the sunshine turn and shak it frequently till it was perfectly dry and fit to be repack in bale for market for this labor they sometime receive a dollar a day thus supply themselve with the mean of procur many little comfort in the year mr levi gist bought a plantation of four hundr and eighty acre about seven mile south of his home he also built a large brick house in bainbridge the lower story of which he intend to occupy as a store in the fall of this year he remove all his servant except peter to the new plantation him he retain to wait on himself and on the beautiful young bride whom he brought home in december this lady whose generous and uniform kindness to himself peter still delight to remember was miss thirmuthis water formerly of nashville she had come out to alabama the previous spr with her sister mrs mckiernan who with her husband had settl on a plantation near that recently purchas by mr gist peter had now to perform the duty of cook housemaid and waiter there being no other servant in the house except a little boy about twelve year old that assist him in perform some of the lighter labor these were the brightest days that had ever fallen to the lot of the young slave his time was all occupy but he succeed in perform his various duty to the satisfaction of his mistress and he felt not the want of leisure her approv smile shed sunshine on his lowly path and her gentle kindness fil his heart with gratitude now but for the one cloud that shadow his spirit he would have enjoy comparative content but the thought of his mother far away who could never hear from him and whom now he might not hope to see isolat him in some sense from his companion in bond it is true that no intelligent slave can feel that his thraldom is just because his mother was perforce a chattel and yet the knowledge that he was born a slave like those he sees around him and the total ignorance of a different structure of society go far to reconcile the unfortunate bondman to his lot a few week after the wed mr gist accompany his bride and her sister mrs mckiernan on a visit to their friend in nashville the journey one hundr and twenty mile was perform on horseback and as the party rode away through the wood on a fine january morn they form a beautiful group mr gist a well-form kentuckian his fine brown feature enliven by splendid black eyes and glow with health and vigor rode proudly at his lady' side she was very beautiful her large dark eyes sparkl with animation and her tall erect figure and graceful dignity of carriage render her in her husband' eyes an embodiment of womanly perfection near the fair bride rode her sister a graceful matronly lady several year her senior whose slight delicate figure present a mark contrast to her own queenly proportion at the distance of a few pace follow peter and while he gaz admiringly at the dear form of his young master and mistress he was far from being forgetful of his own fine point he was"", ""affect shed many tear astonishment gratitude and a variety of feeling shook his frame he shed a flood of tear and could scarcely articulate these word ah my master why do you give me my liberty i have alway had what i want we have work together in the field and i have work as much for myself as for you i have eaten of the same food and been cloth like you and we have gone together on foot to meet we have the sabbath to ourselve we don't lack any thing when we are sick our good and tender mistress come to our bedside alway say someth consolatory to us ah my dear master when i am free where shall i go and when i am sick thou shalt be as the white thou shalt hire with those who will give thee generous wage in a few year thou shalt purchase a piece of land marry a wife wise and industrious as thyself and rear up child as i have rear thee in the fear of the lord and love of labor after hav live free and happy thou shalt die in peace thou must accept liberty jame it is a great while since it was due to thee would to god the father of all men that the white had never thought of trad in thy african brethren may he inspire all men with the desire of follow our example we who regard liberty as the first of blessing why should we refuse it to those who live among us ah my master you are so good is the reason i wish not to leave you i have never been a slave you have never spoken to me but as you speak to white men i have lack noth either in sickness or in health i have never work more than your neighbor who have work for themselve i have been richer than many white to some of whom i have lent money and my good and tender mistress never command us to do anyth but make us do everyth by only say please to do it how shall i leave you give me by the year what you will in the name of a freeman or a slave it is of little consequence to me i shall never be happy but with you i will never leave you well jame i consent to what thou desirest after thy manumission shall have pas through the necessary form i will hire thee by the year but take at least one of relaxation it is a great epoch of thy life celebrate it with joy and rest by doing whatsover thou wilt no master it is seed time i will take my pleasure another time one day only shall be a holiday in my family then since you will have it so i will accept my liberty and my first action as a free man is to take your hand my master press it between mine and lay it on my heart where the attachment and gratitude of jame will not cease until that ceas to beat and until that moment be assur that no laborer in the county of kent will be more industrious than he who henceforth shall be cal faithful jame ezekiel coston aged upward of eighty-three year relat to samuel canby of wilmington delaware in the follow circumstance of his freedom from his master the late warner mifflin a quaker and it may be observe that he alway support an unblemish character that he was born a slave in the family of daniel mifflin of accomack county virginia with whom he live until about twenty year of age about which period warner mifflin son of daniel marry a daughter of john kensey' of west river maryland and settl near camden in the state of delaware ezekiel and five other slave were given him by his father there were also a number of slave belong to his wife brought into the family he live with warner mifflin about eighteen month when he put him on a plantation of his to work it about six mile from his residence where he continu about four year a slave at this period ezekiel was inform by his master that he had conclud to set his slave free and very soon after his master came to his residence and cal him from the field where he was plough they sat""]"
0,73,0_farm_bond_scott_cotton,"['farm', 'bond', 'scott', 'cotton', 'brick', 'crop', 'mr bond', 'potato', 'acre', 'fitzpatrick']","[""me and made an oath and said nigger where did you get all this money you can readily see from the check that i got it from r and b block at wittsburg i want to know how you got the prestige to get that much money from the day that your action drove me from mrs maloney' hotel where i was a waiter boy i have learn to realize that all the money gold and silver has been dug from the bowel of the earth i am glad to say to you that i made bale of cotton last year and i will get someth over this year so you can see where the negro got the money from sale of the allen farm the incident of mr bond' life are all very interest but perhap none will portray the financial foresightedness and ready ability of the man more than the sale of the allen farm first the method in mak the sale second the look ahead for breaker that in time of prosperity and general contentment would not be thought of by the ordinary mind the attempt to sell a bunch of cattle caus him to find a ready buyer for the allen farm he was in partnership in this farm with mr t o fitzpatrick and had been superintendent of the farm for four or five year for himself and mr fitzpatrick at this time mr fitzpatrick was superintend the allen farm for himself and mr bond on a certain day mr eugene rolfe a prominent white gentleman who is now county judge of st francis county want to buy a bunch of cattle mr bond had at that time run on the allen farm mr bond says i agre to sell these cattle and the day was set to go and look at them mr rolfe and he went up in a two horse rig this was about the middle of november mr bond says to get to where the cattle were we had to pass a gin i had built but was then being operat by mr fitzpatrick prior to this time mr fitzpatrick had agre to turn over to me twenty bale of cotton as my interest as rent on the farm that year this was one of the most notable farm in the county at that time being situat on the st francis river where the military road built by gen jackson cross that stream there was a ferry boat there to transfer people back and forth across the river it contain acre of the most fertile land in eastern arkansa as mr rolfe and myself reach the gin i ask mr rolfe to stop a minute and shout hello mr fitzpatrick came out on the platform i said good morn mr fitzpatrick mr rolfe said good morn also i said what day shall i send my wagon for the cotton he said i have bale ready for you now and expect to gin the other two bale this even so you can send your wagon tomorrow morn all right sir mr rolfe and i drove on mr fitzpatrick was one of the most not and influential white citizen of the county was a republican and had been county clerk for a number of year mr rolfe was also a very not gentleman in the county being honest and upright we had been boys together and threw rock on the creek on sunday this grew into manhood friendship mr rolfe remark to me scott you ought to feel mighty grand why so mr rolfe just think of you driv up to a steam gin and hail a man like mr fitzpatrick who is finely educat who has a reputation equal to any man in the county and also hav a man like myself driv you in a double rig mr rolfe it is a long lane that never turn you must realize that mr fitzpatrick has used me this way for several year at the same time i was on his bond for so far as you are concern it would be a real pleasure to me to drive you or wait on you in any way we drove on up to what was known as the big house there we unload and took it afoot all over the farm hunt up the cattle i had agre to sell to mr rolfe lay by corn with cultivator mr fitzpatrick and mr rolfe were"", ""cent and the balance of my crop at cent a bushel the market continu to go down every day so you can see that it was to my interest to push thing and get through by the th just think about it i had no written contract with these gentlemen the contract was only verbal the name of these gentlemen were mr eugene rolfe now county judge of our county and mr eugene borrow both of them were southern born aristocratic gentlemen who alway stand upon their honor they paid me every dollar they agre to like hero i wound up that year by mak a handsome profit on my potato crop cotton advanc that year to cent per pound this brought about quite a change as cotton had been four and five cent for year i look over the situation and conclud that on account of the advance in cotton it would be hard to got hand to handle a potato crop i knew the potato to be a leguminous plant then consider the amount of plow i had to do to make two potato crop i conclud that that mr bond and mr bridgeforth discus hogs in the mulberry orchard at tuskegee land would grow a good crop of cotton i plant that land to cotton i never had in all my days such cotton crop as were grown on that land for the next two or three year cotton sold that year for - cent and by texa going into the potato business on account of the boll weevil i decid to stop potato grow while time were good cotton has remain at a fair price from that time until the european war when in the bottom again fell out of the cotton market i then began to diversify my crop in earnest i plant wheat rye oats and alfalfa and began in a small way to accumulate cattle and hogs i saw the price on that class of farm produce was up and going higher dur all these year i kept my child in college and manag to buy another farm every year one of the greatest mistake people make is when they take their child out of school in the very year they should be in train it is false economy to think they are of more permanent help in the field than in the school room more child are cheat out of an education in this way than in any other scott bond' first merchandis in this age of specialization it is unusal to find a man who does many thing well a say that a jack of all trade is good at none is certainly not appropriate in relation to the subject of this sketch it may be that the exception prove the rule if this be true then the life of scott bond is the exception mr bond not only did many thing but he also made a success of everyth he touch in the record show that he was the first of his race to do merchandis in the then little town of forrest city which has since become the county seat of st francis county at that time mr william bond scott bond' step-father and mr abe davis propos to him to open a store they agre to go each one-third share and share alike each to invest dollar and scott bond to be in charge to handle the business each was to pay one-third of the expens rent clerk hire etc so about the th of december mr scott bond insist that business should be start in order to get the benefit of the christma trade he therefore invest his and his stepfather and mr davis agree to come in with their share a little later january february march and april came and still they were not ready the business was a success for the capital invest but the capital was not large enough so may rd mr bond decid to pack up and store his good he stor them with mr abe davis and on may th went back to the allen farm to make a crop about this time he was engag to be marry to miss maggie nash of forrest city the night before he went to the allen farm he cal on his fiance she was liv with a white family one of whom a young lady was also name miss maggie nash mr bond"", ""exist between the white man and the negro in the south i spread a cloth on the top board of the scale fix his plate knife and fork and said mr allen have a lunch mr allen said uncle scott this is your gin and your property as you used to belong to cousin mary francis bond who alway felt dear to mother now you come and let' eat together you know a man feel best just after he has had a good dinner mr allen said uncle scott i have a proposition for you that will make you scratch the back of your head this of cause took no effect on me but when he drew from his pocket the contract his mother had authoriz him to submit to me i was struck with amazement when i came to myself i was stand on the front side of the scale scratch my head i look around and mr allen laughingly remark i told you i would have you scratch your head i then began to figure i had hundred of acre of land already on hand that were already paid for but i reason that if i could rent a farm and pay a year rent until i had paid the proprietor as i had done on that same farm it look to me like the proposition was a good one i said where will you be tomorrow at o'clock he said he could be at any place i would have him to be mr bond agre to meet mr allen in forrest city the next morn and close the deal the next morn says mr bond i rode over to forrest city and met mr allen and mr t o fitzpatrick on the sidewalk as usual mr fitzpatrick said good morn uncle scott mr allen said uncle scott i have a better proposition to offer you than the one i offer you yesterday i have a party who will take it at and pay half of the money cash mr fitzpatrick said have you been talk with uncle scott about this deal yes i was at his gin plant yesterday all day and he promis to be here this morn at o'clock to close the deal mr fitzpatrick remark now i take down my proposition spr creek missionary baptist church of which scott bond is a member and have noth to do with the deal there stand one man scott bond that i alway thought to be a gentleman mr bond said mr fitzpatrick that is all o k now in order to help mr allen out and also better your condition we will buy the farm in partnership mr fitzpatrick said that would suit me better than buy it by myself provid you promise me that you will superintend the farm for five year with the understand that t o fitzpatrick will allow you big wage for superintend the farm here again scott bond show his ability and foresight he says i grab like a trout at a troll i sold my new gin plant on my place and move back to the allen farm the only thing invest in the farm to start with was a pair of plug mule and bushel of corn he says when he got on the good old farm he felt like he was the big dog of the bone yard we here again repeat mr bond' word without quotation when i was on this farm as a renter i thought i had a big melt when i look around and see there was a probability of me becom proprietor i felt that i could do four time the amount of work i could do before there was immediate demand for axes hoes plow and people in four year time there was over additional acre of land brought under cultivation fourteen new hous with brick chimney a new steam gin and a kiln of brick the farm was stock out with work stock and tool and the farm all paid for i then turn everyth over to mr fitzpatrick and rent to him my interest in the farm gin mule and horse i move back home with my beautiful wife and child and began clear and improv my big farm at madison some year later the color people all around madison where i live became africa struck i beg them not to sell their farm and go to africa but first""]"
1,71,1_paul_oh_mistress_love,"['paul', 'oh', 'mistress', 'love', 'yes', 'ah', 'darl', 'sweet', 'mamma', 'young mistress']","[""she cry almost excitedly smil significantly and oh so sweetly as she pas me in a minute more i was in her presence ah yes there was the same glorious love-light in her eyes the same sweet smile on her lips the same fragrance of heaven in her breath as i fil and hand her the glass thank that is so nice sip the cool draught and then put away the goblet she turn to her maid sally run down and see if i haven't left my fan in the carriage and then as sally disappear she turn with the warm glow of a womanly love flush her sweet face and put her arms up to my neck and lay her head against my heart lovingly murmur oh paul dear dear paul i have come back to you i have struggl so hard so long against my love but i could not stifle it oh darl i love you i love you and i cannot live without you i could only stoop and kiss her head her glorious hair as i softly enclos her in my arms and then as gently releas her i said and you may never know my sweet gentle mistress what a gladness your com has brought me oh how my very soul bless you that you have come yes i can know for i read it in your eyes your soul spoke its gladness to me through your eyes and oh it made me feel so happy but now darl one little kiss quickly for sally is com i did not stoop to kiss her but wind my arms about her waist i lift her bodily up to my lips and then gently put her down i went out just as the de trop sally came back with the mis fan the music that even was one sweet trill of love and gladness thril with its nameless magic every fibre of my being as i listen from my place on the portico the next morn i read for her as she rest in her swing it was from a little volume of poem by harry flash our own mobile poet alas now dead and almost forgotten but breath while he live the divine afflatus of the poet it was a song of what the little bird told me with its gleeful refrain she love me she love me that pleas me best of all and even after dinner had been announc and she had gone up to her room to dress i kept repeat it as i put the book away the afternoon was balmy and delightful and there was heaven in her eyes as she cal to me after i had had my dinner have out dido paul and selim we will have a ride now a long long ride out into the wood and all among the flower the wild ros and honeysuckle the jessamine and lily she said archly and then ran up to her room to arrange her toilet i hurriedly brought out the horse and ask jake to hold them for me i ran up to my little cuddy to array myself in my best my very best attire it was my habit as well as duty to be alway cleanly in my person and tidy in my dress it was no idle threat the mistress had once made that each fleck of dirt found on the linen of one of the house negro was to be whip off with the cowhide the order was no reluctantly obey command to me but a luxury and i alway was cleanly as well as tastefully dres but on this occasion beau brummell himself would have with difficulty pick a flaw in the immaculate purity of my attire as draw on my well-fit coat i went down from my cuddy and announc that the horse were ready i found her wait radiantly lovely rosy and sweet i may never be able to express the feeling that so deliciously thril me as i lift her the beautiful darl of my life to her seat in the saddle and quickly mount follow her lead follow where ah little did i think or care had it been into the gap jaws of death itself i should have pres on eagerly after love reign supreme i had dur her absence given the horse a daily exercise around the field but the long rest had somewhat pamper them"", ""we must not spoil him with flattery we mustn't give him the big-head answer the mistress with a playful shake of her head at me ah i don't think he could be so easily spoil he rub my foot and ankle so nicely last night and never once got an inch above his business with a saucy little nod and then blush at the sauciness she ad he was as backward as a girl and i had to tell him to kiss it like sally kiss it before he would touch it with his lips and it was that i think mamma that cur it he seem to kiss all the hurt away and this morn it is not even color as it was yesterday yes that was very well and paul you must come to my room after dinner i wish you to rub my back said the mistress as she put her arm around her daughter' waist and lovingly they walk into breakfast i was not derelict in my duty to my mistress and impart as much of superfluous vitality to her fail nerve as was possible for a purely manual friction to transmit as after hav winnie to open her corsage she lay prone upon her stomach and order me to rub her spine there may have been a mesmeric somnolence in it but i am sure she felt none of the subtle force that had so unconsciously thril the being of her daughter the even before it was a warm strong ruddy glow i brought to the surface sooth and strengthen but there was no odic thrill in the touch and when she gave a little sigh nearly akin to a snore and slightly turn on her side for a sleep i could withdraw my hand with the cold composure of an octogenarian surgeon now you have put mamma to sleep i must trouble you to wait upon me said the young mistress who had been a silent spectator of the mesmeric operation i am alway ready to wait upon you i answer then come with me to the library there are some passage in the story you read me of paul and virginia i wish you to read again of course an expression of her wish was a law to me and i follow her to the library as closely as my station would allow the volume lay on the table and the passage open of itself as if she had been read it before it was the tender love scene in the grove and when i had read it i paus for her comment she sat silent for a moment a little pale at first but i saw the pinky color ris up a little shell-tint at first but color deeper and deeper into a rosy red and with a sudden turn she said that was very sweet wasn't it to paul it must have been heaven itself i answer and to virginia too she said and suppose paul suppose it had been we two you and i that you had been paul and i virginia what would you have done oh miss virginia you should not ask me i i could not dare to make such a presumptuous supposition well let me make it then i will suppose that you are paul and i i am virginia what would you have done no no my sweet mistress let me ask it suppose you were virginia the gracious mistress and i poor paul the slave what would you have done i should have done this paul i should have put my arms up to your neck so and said paul my life i love you kiss kiss me paul and ris up she plac her fair round arms about my neck and reach up her rich ripe melt lips to my own she kis me oh darl darl my love i cry clasp her to my heart and giv her kiss for kiss dash them upon her lips her chin her eyes and her forehead and then horrify at my boldness i releas her from my arms and plac her back in her chair i turn and ran away from her presence almost as wild in thought as an animal releas from a snare sunshine and shadow the veil was now lift from both our heart the scale from our eyes and she knew that i love her as blindly madly despairingly as i"", ""and so i was left behind inwardly bles the mistress for her incipient attack of rheumatism but the bles was not without its qaulify drawback as no bles is for while it interfer with what would have been a dreary banishment from my love it also interrupt the delightful program we had each for ourselve arrang for the afternoon' ride i fear darl you will have to do without your ride today the mistress said as already dres the young lady came down with a little flutter of gladness to tell me to order the horse i must have paul myself this even i feel them creep on now but mamma my charmer commenc with an unmistakable pique in her voice when a warn appeal from my eyes restrain her no buts about it i must have him to rub my knee you can swing and have a romp with bruno on the lawn which is quite as healthful as rid but you must lend me paul today or if you must ride let joe attend you again i nod an appeal hint to acquiesce and accept the disappointment with a charm little pout she said joe inde joe could no more ride selim than he could fly to the top of the house but never mind i don't care so much about the ride i can go back and finish my nap and when you get done with paul he can swing me and with a little flush of rebellion on her cheek she turn away halt at the door to add by way of retaliation only mamma i do think it is all stuff about this new-fangl idea of the odic force that aunt marie is so crazy about it is only of her hobby you know she is full of them it's the rub that does the good and why can't you let winnie rub you winnie fiddlestick i'd as soon have a frog crawl up and down my legs as to have winnie piddl at them no its the young soft lusty strength of paul' warm hand that make the tickle so here paul get on your knee and go to work answer the mistress put her foot upon the ottoman and lift her petticoat i do wish mamma would not do that said the young lady after i had exorcis the demon of rheumatism from the mistress' knee and had been dismis to go out and swing her daughter do what miss virginia i ask let you rub her so it is hardly decent but darl if it relieve her pain i am glad to do it i do not mind it and god know my sweet it has not the slightest effect on me the good mother of my darl is sacr to me yes oh yes i know it is not that paul there are but few men like you paul my own dear paul after supper and the music was end and the mistress was prepar to retire her daughter cal her mamma she cry i wish to make some different arrangement about sally' sleep she she snore so loud and incessantly that i can't sleep she must be move yes i hear her snor sometime clear down here and only last night it wak your papa and he gave me a dig think it was i i told him then it was sally but he wouldn't believe me but tell me virginia let me ask you isn't there someth the matter with the hussy anyhow the young lady flush rosy as she cast a shy glance at me and with a lower of her voice she answer i am afraid so mamma humph i thought as much i have been notic her for sometime and was sure that it was so and then turn a quizzical half-frown glance on me she cry and you mr paul we have caught you have we ah ha my buck and it was for this was it that you want to go back to the field and aren't you asham of yourself for try to get away as you did after put the girl in such a fix i was hesitat for a reply when the young mistress with a pretty little scorn broke in no inde mamma it was not paul he i am sure is above such a disgust liaison as that why child you know noth about such thing paul is not""]"
2,61,2_peter_phillip_dollar_friedman,"['peter', 'phillip', 'dollar', 'friedman', 'freedom', 'hundr dollar', 'reply', 'sell', 'pay', 'note']","[""of his humble friend and readily promis to aid him if possible in negotiat for the purchase of his family peter remain in cincinnati a week wait for his free paper these he was anxious to possess on his return to alabama as someth might occur which would render it necessary for him to prove his freedom at last he obtain the valu certificate of which the follow is a copy state of ohio city of cincinnati be it known that before me henry e spencer mayor of said city personally appear isaac s friedman who being duly sworn depos and says that he has been acquaint with a color man name peter still alia peter friedman for the last five year that the said peter was formerly a slave belong to john h hogun resid about three mile from tuscumbia in the state of alabama that joseph friedman of tuscumbia hir the said peter for about two year of the said john h hogun and afterward bought him and held him as a slave for about two year longer when peter bought his freedom from his master the said joseph friedman brother of this deponent by pay him the sum of five hundr dollar as fully appear from a bill of sale given by said joseph friedman to said peter and dat tuscumbia ala the th day of april which bill of sale this deponent fully recogniz as genuine and further this deponent sayeth not isaac s friedman the forego affidavit of the above-nam isaac s friedman to the freedom of the within-nam peter still hav been duly sworn to and subscrib before me i therefore do declare the above-nam peter still alia peter friedman to be a free person and entitl to all the privilege of free person of color accord to the laws of the state of ohio said peter still is about forty-nine year of age is five foot seven and a half inche in height of a brownish black complexion and without any mark or cuts given under my hand and the corporate seal of the city of cincinnati this d day of august h e spencer mayor peter was now a man his year of patient toil for noble object had not made him such his warm unselfish heart had never prove him worthy of the ennobl title but he posses free paper guard well the treasure peter for the paper lost you may again be bought and sold a thing of merchandise a slave immediately after receiv his paper he start for tuscumbia he wore not proudly his new honor but lay the precious certificate in the bottom of his trunk he travel meekly as a slave upon a pass from mr friedman this pass was direct to mr alexander of tuscumbia a gentleman who had once before act as his guardian dur the temporary absence of both the friedman' it request this gentleman to permit peter to stay at tuscumbia as long as he should wish to do so and to send him back whenever he should be ready to return as his labor could be made profitable on a steamboat and his owner could also take better care of him if he had him near himself noth of interest occur on the homeward journey the boat reach tuscumbia land on the even of the last day of august and early the next morn peter walk up to town many were the friendly greeting he receive as he pas through the street that day many question were ask him concern mr friedman his business prospect etc to all these peter reply as he had been instruct mr friedman would be there before christma and if peter work till that time on a steamboat he should then come with him mr friedman said he could earn him more money upon a boat than any where else and had promis to give him someth for himself if he did well many gentlemen question him very closely respect the free state how he lik cincinnati and whether he saw there any abolitionist his idea of these desperate character had been greatly modify dur the week which he had spent among his relative but he answer in accordance with his old idea idea which are carefully inculcat in the mind of slave he was mighty skeer he said all the time he was in cincinnati and did not dare to go out after night one night"", ""give you five hundr dollar said he my brother authoriz me to pay that sum but argu hogun he is a great favorite in town i have been offer six hundr dollar for him i say i will give five hundr not one dollar more the sale was going on hogun grew desperate the boys he want would not wait for bidder for they were choice fellow well said he as he walk toward the door you may have him for five hundr but it's a shame to sell him so then he is mine yes for five hundr dollar yes yery well your money will be ready when you want it hogun hasten back to the auction the boys were just going up he bid off the youngest for seven hundr and fifty dollar and the other became the property of a planter name w a few mile south of the town it was night at his desk sat the young jew review the business of the day cautiously the door was open and peter enter the counting-room paus to listen before he clos the door lest some chance visitor might be approach all was still now mr friedman said the slave while his voice trembl and his whole frame was agitat i've come to pay you that money and i reckon you wont cheat me i've work mighty hard to get it there' three hundr dollar in this yer bag so say he drew the precious treasure from his pocket glanc instinctively toward the corner of the room to be sure that no spy was there conceal he proceed to untie the bag it was made of leather about twelve inche long three inche wide at the bottom and half that width across the top it contain piece of silver of all siz and now and then as they came forth with a melodious clink a piece of gold glitter in the lamp-light it was peter' custom when he saw a piece of gold in the hand of a gentleman whom he had serve to ask him if he would not like change for that if he receive an affirmative reply he would bring from his precious bag the amount in small silver coin the writer knew him at one time to get ten dollar in five-cent-piece chang for gold his habit of industry were so well known that such a request excit no suspicion the small amount thus chang at once was presum to be the sum of the poor fellow' wealth when the bag was about half empty peter paus it would be so easy for him to lose it all and he had known so many slave defraud of their hard-earn gain that it seem impossible for him to trust but thought he i've know mr friedman a long time and i never know him to do a mean trick if i can't trust him the lord help me i can't never be free without trustin some person any how he empty the bag upon the table and both count it twice it was right-three hundr dollar mr friedman wrote a receipt for the money and sign it hand it to peter poor fellow he could not read it but he believe it genuine and a load was lift from his heart after all he might be deceive he was in this man' power but he resolve to trust and to go to work with all his might to earn the balance of the sum requir to make him a freeman the next day mr hogun receive the stipulat five hundr dollar and gave a bill of sale of which the follow is a copy for the consideration of five hundr dollar paid to me this day i have sold to joseph friedman a negro man name peter i bind myself and heir to defend the title of said negro peter to the said joseph friedman and his heir against all claim whatever given under my hand and seal this th january john h hogun great sympathy was felt in tuscumbia for poor uncle peter it was so strange that hogun would sell such a faithful old man to a jew of course friedman want to make money out of him and when he became no longer profitable he would not scruple to carry him off and sell him thus spake gentlemen and lady and soon their child caught the tone don't you think said"", ""of the little man before him mr friedman took up his pen and wrote a receipt in full together with a certificate of freedom as follow receive tuscumbia january th of my boy peter three hundr dollar jos friedman recd sept st of my boy peter eighty-eight dollar and twelve dollar recd march th of peter sixty dollar jos friedman receive april th forty dollar for and in consideration of the above five hundr dollar i have this th day of april given peter a bill of sale and given him his freedom joseph friedman tuscumbia ala april th precious was this paper in the eyes of the self-ransom slave and yet he felt not all secure the habit of doubt that truthfulness of which he had so seldom seen an illustration could not at once be overcome he had five dollar left with which he bought a trunk of mr friedman and then in one old silver dollar which he had kept for many year consist all his store mr friedman had charg him no interest on the two hundr dollar which he had advanc to purchase him of mr hogan and dur the last year he had bestow upon him many little present jew though he was and sometime quot as a miser yet he knew the happiness of being a bles to the poor immediately after receiv this last payment from his servant joseph friedman start for california leav peter in the care of his brother isaac the whole transaction was still a secret no mortal save the two brother and peter' own family were aware that he had even wish for liberty he was one day engag in clean the church when two or three lady came in to superintend his labor among them was mrs d one of the most excellent lady in town peter said she when she had finish giv him some direction you ought to be free you have been a faithful servant for a great many year and now that you are get old you deserve to have your freedom instead of being sold to those jews oh reply he what use would it be for me to be free why then you could do as you chose and go wherever you lik what now i've got to be an old man a'most fifty i've got no house nor garden and if i was free i'd have to hire a house and buy my own clothe and then if i should be sick there'd be nobody to take care of me no ma'am taint no use for me to think of bein free i'm too old to be turn off to take care of myself thus carefully did he conceal his real feeling lest he should place in greater peril that freedom which he had so dearly won at the approach of summer mr isaac friedman decid to sell out his stock of good in tuscumbia in order to remove to cincinnati where his brother levi then resid peter no sooner learn this plan than he request leave to accompany him as far as louisville in all his intercourse with the jew he had never reveal to him his early history or breath to him his own great wish that of seek his parent and his childhood' home but he had often talk of lexington and now he said he should like once more to visit the old place mr friedman readily assent and peter commenc his preparation for the journey his earning since he had finish pay for himself together with his receipt from the sale of a few article which he no longer need amount to eighty dollar that he thought would be sufficient to meet his expens on the way the tuscumbian again became excit some gossip oracle reckon that joseph friedman had fail and straightway that important reckon was announc to be a fact joseph had fail and isaac was about to sell off his good at auction and quit the country uncle peter too was to be drag off and sold or as some said to be hir out upon a steamboat and thus expos to all the frightful sickness that then rag upon the western river now uncle peter said one if you find out that those jews are about to sell you just let me know and i will buy you it will be too bad for them to speculate out of you said""]"
