topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
0,Racial Exclusion at West Point,131,"cadet, class, west point, plebe, flipper, west, officer, color, academy, guard",1878.0,1878.0,The Colored Cadet at West Point. Autobiography of Lieut. Henry Ossi... (131 chunks)
1,Respectable Slaveholding Families,117,"folger, matthia, mrs, pierson, mrs folger, mr pierson, mr folger, isabella, stone, catherine",1835.0,1903.0,"Fanaticism; Its Source and Influence, Illustrated by the Simple Nar... (109 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (5 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (1 chunks)"
2,Faith and Church Leadership,56,"th, preach, elder, bowle, brethren, huntington, soul, quarterly, th went, church",1810.0,1916.0,"The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (47 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (6 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (1 chunks)"
3,Fleeing to Canada for Freedom,48,"girl, colour, onesimus, john, brown, canada, freedom, fugitive, law, reuben",1811.0,1903.0,"Hair-breadth Escapes from Slavery to Freedom (11 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (8 chunks); Narrative of the Life of Henry Box Brown, Written by Himself (7 chunks)"
4,Traveling and Navigation,47,"ben, wilson, road, start, wood, run, hound, river, mile, walk",1847.0,1916.0,"Biography of a Slave; Being the Experiences of Rev. Charles Thompso... (15 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (14 chunks); Hair-breadth Escapes from Slavery to Freedom (6 chunks)"
5,Letters from Friends and Admirers,45,"sancho, letter, dear, mrs, thank, sancho letter, mrs sancho, charle street, charle, honour",1782.0,1855.0,"Letters of the Late Ignatius Sancho, An African. In Two Volumes. To... (43 chunks); Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (1 chunks); Memoir of Pierre Toussaint, Born a Slave in St. Domingo (1 chunks)"
6,Missionary Influence on Indigenous Peoples,36,"negro, african, colour, africa, race, history, missionary, knowledge, native, capacity",1851.0,1903.0,"God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (24 chunks); Africa for Christ. Twenty-Eight Years a Slave (3 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (2 chunks)"
7,Critique of American Slavery and Racial Hierarchy,36,"human, obligation, law, government, natural, american, principle, civil, race, african",1811.0,1875.0,"The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (13 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (12 chunks); The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (4 chunks)"
8,Racial Identity and Hierarchy,33,"race, color, color people, negro, problem, solve, nationality, institution, school, responsible",1903.0,1903.0,"The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (33 chunks)"
9,The Colored Methodist Episcopal Church and its Leadership,33,"church, bishop, conference, methodist, episcopal, methodist episcopal, episcopal church, general conference, elect, lane",1885.0,1928.0,"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (24 chunks); From Slavery to the Bishopric in the A.M.E. Church. An Autobiography (6 chunks); Africa for Christ. Twenty-Eight Years a Slave (2 chunks)"
10,Toussaint Louverture's Military Campaigns,28,"toussaint, french, soldier, rochambeau, leclerc, louverture, troop, mountain, attack, command",1853.0,1892.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (26 chunks); Africa for Christ. Twenty-Eight Years a Slave (1 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (1 chunks)"
11,Education and Community Support,27,"school, teacher, student, dollar, college, university, race, study, color, latta",1855.0,1928.0,"The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (13 chunks); Life and History of the Rev. Elijah P. Marrs, First Pastor of Bearg... (7 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (4 chunks)"
12,Critique of Northern Churches and Ministers on Slavery,27,"lord, jesus, thee, thou, bles, preach, pray, minister, christ, hath",1810.0,1903.0,"The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (17 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (3 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (2 chunks)"
13,Traveling to Freedom,27,"wood, distance, king, ourselve, travel, journey, grass, thoma, water, richardson",1852.0,1897.0,"The White Slave; or, Memoirs of a Fugitive (8 chunks); Life of Isaac Mason as a Slave (5 chunks); Africa for Christ. Twenty-Eight Years a Slave (4 chunks)"
16,Mulattoes' Ambition and Rebellion,26,"mulatto, france, toussaint, hayti, negro, colonist, french, island, assembly, colour",1853.0,1854.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (25 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (1 chunks)"
14,Whipping and Plantation Punishment,26,"whip, overseer, new haven, litchfield, shop, haven, dollar, barber, jack, mistress",1851.0,1893.0,"Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (13 chunks); The White Slave; or, Memoirs of a Fugitive (6 chunks); Narrative of the Life of Henry Box Brown, Written by Himself (3 chunks)"
15,Traveling by Boat and Railroad,26,"boat, worcester, venture, board, ferry, orlean, new orlean, travel, river, road",1847.0,1897.0,"The White Slave; or, Memoirs of a Fugitive (6 chunks); Life of Isaac Mason as a Slave (5 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (4 chunks)"
17,Critique of Slavery and Racial Supremacy,25,"philemon, christian, paul, law, liberty, onesimus, human, obligation, freedom, nature",1847.0,1861.0,"The White Slave; or, Memoirs of a Fugitive (8 chunks); The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (6 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (3 chunks)"
18,Forced Sale and Auction,24,"auctioneer, sale, gouge, dollar, sold, colter, hundr dollar, mcgrab, bid, fellow",1852.0,1855.0,"The White Slave; or, Memoirs of a Fugitive (18 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (3 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (2 chunks)"
19,Racial Equality and Social Justice,22,"president, race, color, color people, negro, problem, lady gentlemen, administration, institution, office",1903.0,1903.0,"The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (22 chunks)"
20,Life on Board Slave Ships,21,"captain, ship, crew, vessel, board, sea, sail, deck, sailor, wound",1811.0,1897.0,"The White Slave; or, Memoirs of a Fugitive (7 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (5 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (4 chunks)"
21,Christian Missionary Work for Africa,21,"johnson, africa, rev, mission, association, missionary, mr johnson, christian, chicago, african",1861.0,1928.0,Africa for Christ. Twenty-Eight Years a Slave (16 chunks); Hair-breadth Escapes from Slavery to Freedom (3 chunks); From Slavery to the Bishopric in the A.M.E. Church. An Autobiography (2 chunks)
22,Leadership and Military Service,20,"toussaint, mulatto, france, chief, diaz, hayti, leclerc, ois, colour, troop",1853.0,1854.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (17 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (3 chunks)"
