topic,count,default_name,year_min,year_max,top_documents
-1,438,-1_mistress_toussaint_mrs_freedom,1810,1929,"The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 38 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 38 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 36 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 32 | Narratives of Colored Americans (Abigail  Mott): 28"
0,73,0_farm_bond_scott_cotton,1893,1929,"From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 69 | My Life and Travels (Levi  Branham): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1 | Life of Isaac Mason as a Slave (Isaac  Mason): 1"
1,71,1_paul_oh_mistress_love,1846,1913,"The Story of a Slave. A Realistic Revelation of a Social Relation of Slave Times--Hitherto Unwritten--From the Pen of One Who Has Felt Both the Lash and the Caress of a Mistress (  No Author): 59 | Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 8 | From the Darkness Cometh the Light or Struggles for Freedom (Lucy A. Delaney): 1 | Reminiscences of School Life, and Hints on Teaching (Fanny Jackson Coppin): 1 | Narratives of Colored Americans (Abigail  Mott): 1"
2,61,2_peter_phillip_dollar_friedman,1826,1902,"Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 24 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 16 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 6 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 3 | Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 3"
3,51,3_ship_vessel_board_captain,1810,1913,"The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 8 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 7 | Narratives of Colored Americans (Abigail  Mott): 6 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 4 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 4"
4,47,4_lord_pray_prayer_toussaint,1826,1916,"Narratives of Colored Americans (Abigail  Mott): 19 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 17 | Memoir of Pierre Toussaint, Born a Slave in St. Domingo (Hannah Farnham Sawyer Lee): 5 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1"
5,46,5_brother_missionary_sister_tear,1810,1929,"Narratives of Colored Americans (Abigail  Mott): 13 | Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 8 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 5 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 4 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 3"
6,37,6_antislavery_american_nation_boston,1855,1917,"The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 19 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 8 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 4 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 3 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1"
7,36,7_liberty_society_freedom_unit,1810,1909,"The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 10 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 10 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 7 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 3 | Memories of Childhood's Slavery Days (Annie L. Burton): 2"
8,35,8_american_soldier_citizen_battle,1855,1917,"The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 28 | Old Plantation Days (W.  Mallory): 3 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 2 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 1 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 1"
