topic,count,default_name,year_min,year_max,top_documents
-1,6478,-1_church_lord_school_dollar,1734,1980,"An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary (Amanda  Smith): 172 | Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 155 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 142 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 127 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 99"
0,137,0_oer_thou_thee_thine,1826,1926,"Memoir and Poems of Phillis Wheatley, a Native African and a Slave. Dedicated to the Friends of the Africans (Phillis  Wheatley): 22 | The Poetical Works of George M. Horton: The Colored Bard of North Carolina: To Which is Prefixed the Life of the Author, Written by Himself (George Moses Horton): 14 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 10 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 8 | Memoirs of Elleanor Eldridge (Frances H. Green): 6"
1,113,1_religion_slaveholder_antislavery_church,1831,1914,"Pictures of Slavery in Church and State; Including Personal Reminiscences, Biographical Sketches, Anecdotes, etc. etc.  with an Appendix, Containing the Views of John Wesley and Richard Watson on Slavery (John Dixon Long): 26 | Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the United States, Canada, &amp; England (Samuel Ringgold Ward): 11 | Poems by a Slave in the Island of Cuba, Recently Liberated; Translated from the Spanish, by R. R. Madden, M.D. With the History of the Early Life of the Negro Poet, Written by Himself; to Which Are Prefixed Two Pieces Descriptive of Cuban Slavery and the Slave-Traffic, by R. R. M. (Juan Francisco Manzano): 7 | Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 6 | Struggles for Freedom; or The Life of James Watkins, Formerly a Slave in Maryland, U. S.; in Which is Detailed a Graphic Account of His Extraordinary Escape from Slavery, Notices of the Fugitive Slave Law, the Sentiments of American Divines on the Subject of Slavery, etc., etc. (James  Watkins): 4"
2,101,2_race_color people_prejudice_equality,1842,1929,"The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D. (M. L. Latta): 17 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 9 | An Autobiography: The Story of My Life and Work (Booker T. Washington): 8 | Frederick Douglass The Colored Orator (Frederic May Holland): 6 | My Life and Work (Alexander  Walters): 5"
3,95,3_thou_christ_righteous_lord,1789,1929,"The Life, History, and Unparalleled Sufferings of John Jea, the African Preacher. Compiled and Written by Himself (John  Jea): 12 | From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (William H. Robinson): 7 | The Life of the Rev. Dandridge F. Davis, of the African M. E. Church. With a Brief Account of His Conversion and Ministerial Labors, from August 1834, till March 1847. Also, a Brief Sketch of the Life of the Rev. David Conyou, of the A. M. E. C. and His Ministerial Labors. To Which Is Annexed the Funeral Discourse Delivered at the Ohio Conference, in Zanesville, on the Decease of the Rev. D. F. Davis, by the Author (A. R. Green): 7 | Narrative and Writings of Andrew Jackson, of Kentucky; Containing an Account of His Birth, and Twenty-Six Years of His Life While a Slave; His Escape; Five Years of Freedom, Together with Anecdotes Relating to Slavery; Journal of One Year's Travels; Sketches, etc. Narrated by Himself; Written by a Friend (Andrew  Jackson): 4 | A Brief Miscellaneous Narrative of the More Early Part of the Life of L. Tilmon: Pastor of a Colored Methodist Congregational Church in the City of New York (Levin  Tilmon): 4"
4,93,4_book_pastor_sell book_buy book,1851,1895,"The Anderson Surpriser. Written After He Was Seventy-Five Years of Age. The Author Was Born in Liberty County, Ga., on the 22d Day of February, in the Year of Our Lord, 1819, and United with the Methodist Episcopal Church in the Year 1839. This Book Contains an Account of His Florida and Northern Trip, Written by Himself, Giving Much Valuable Information of the People Among Whom He Had Been Several Months (Robert  Anderson): 48 | The Life of Rev. Robert Anderson. Born the 22d Day of February, in the Year of Our Lord 1819, and Joined the Methodist Episcopal Church in 1839. This Book Shall Be Called The Young Men's Guide, Or, the Brother in White (Robert  Anderson): 33 | An Autobiography. Bond and Free:  Or, Yearnings for Freedom, from My Green Brier House. Being the Story of My Life in Bondage, and My Life in Freedom (Israel  Campbell): 2 | A Family Redeemed from Bondage; Being Rev. Edmond Kelley, (the Author,) His Wife, and Four Children (Edmond  Kelley): 2 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1"
5,92,5_folger_matthia_mrs folger_mr folger,1831,1898,"Fanaticism; Its Source and Influence, Illustrated by the Simple Narrative of Isabella, in the Case of Matthias, Mr. and Mrs. B. Folger, Mr. Pierson, Mr. Mills, Catherine, Isabella, &amp;c. &amp;c. A Reply to W. L. Stone, with the Descriptive Portraits of All the Parties, While at Sing-Sing and at Third  Street. - Containing the Whole Truth - and Nothing but the Truth (G.  Vale): 78 | John and Mary; or, The Fugitive Slaves, a Tale of South-Eastern Pennsylvania (Ellwood  Griest): 2 | Narrative of Sojourner Truth, a Northern Slave, Emancipated from Bodily Servitude by the State of New York, in 1828 (Sojourner  Truth): 2 | Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipated by the New York Legislature in the Early Part of the Present Century; with a History of Her Labors and Correspondence Drawn from Her ""Book of Life;"" Also, a Memorial Chapter, Giving the Particulars of Her Last Sickness and Death. (Sojourner  Truth): 2 | Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West (Austin  Steward): 1"
6,92,6_narrative_book_author_written,1810,1980,"Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 4 | Narrative of the Life and Adventures of Henry Bibb, an American Slave, Written by Himself (Henry  Bibb): 4 | Narrative and Writings of Andrew Jackson, of Kentucky; Containing an Account of His Birth, and Twenty-Six Years of His Life While a Slave; His Escape; Five Years of Freedom, Together with Anecdotes Relating to Slavery; Journal of One Year's Travels; Sketches, etc. Narrated by Himself; Written by a Friend (Andrew  Jackson): 3 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 3 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 2"
7,87,7_convict_prison_warden_prisoner,1848,1914,"Buried Alive (Behind Prison Walls) for a Quarter of a Century: Life of William Walker (William  Walker): 62 | Toussaint L'Ouverture: A Biography and Autobiography (J. R. Beard): 4 | The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of Real Life (J. W. Loguen): 3 | Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 2 | The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comprising an Account of the Struggle for Liberty in the Island, and a Sketch of Its History to the Present Period (J. R. Beard): 2"
8,85,8_whip_mistress_covey_overseer,1810,1929,"Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 8 | Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 6 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 5 | Life of William Grimes, the Runaway Slave, Brought Down to the Present Time. (William  Grimes): 4 | Slave Life in Virginia and Kentucky; or, Fifty Years of Slavery in the Southern States of America (Francis  Fedric): 4"
