topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
0,"Farm, Bond, Scott, Cotton",73,"farm, bond, scott, cotton, brick, crop, mr bond, potato, acre, fitzpatrick",1893.0,1929.0,"From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (69 chunks); My Life and Travels (2 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (1 chunks)"
1,Longing for Family and Freedom,71,"paul, oh, mistress, love, yes, ah, darl, sweet, mamma, young mistress",1846.0,1913.0,"The Story of a Slave. A Realistic Revelation of a Social Relation o... (59 chunks); Narrative of William Hayden, Containing a Faithful Account of His T... (8 chunks); From the Darkness Cometh the Light or Struggles for Freedom (1 chunks)"
2,Struggling for Freedom,61,"peter, phillip, dollar, friedman, freedom, hundr dollar, reply, sell, pay, note",1826.0,1902.0,"Narrative of William Hayden, Containing a Faithful Account of His T... (24 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (16 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (6 chunks)"
3,Escape by Sea,51,"ship, vessel, board, captain, boat, steamer, sail, sea, voyage, shore",1810.0,1913.0,"The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (8 chunks); The American Fugitive in Europe. Sketches of Places and People Abroad (7 chunks); Narratives of Colored Americans (6 chunks)"
4,Expressions of Sympathy and Gratitude,47,"lord, pray, prayer, toussaint, jesus, sarah, dear, love, bles, faith",1826.0,1916.0,"Narratives of Colored Americans (19 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (17 chunks); Memoir of Pierre Toussaint, Born a Slave in St. Domingo (5 chunks)"
5,Family Relationships and Guidance,46,"brother, missionary, sister, tear, saat, love, yes, african, jesus, oh",1810.0,1929.0,"Narratives of Colored Americans (13 chunks); Narrative of William Hayden, Containing a Faithful Account of His T... (8 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks)"
6,American Identity and Nationalism,37,"antislavery, american, nation, boston, convention, color people, color man, public, color american, society",1855.0,1917.0,"The Colored Patriots of the American Revolution: With Sketches of S... (19 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (8 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (4 chunks)"
7,The Struggle for Equal Rights and Representation,36,"liberty, society, freedom, unit, unit state, act, law, free color, fugitive, american",1810.0,1909.0,"The Black Man: His Antecedents, His Genius, and His Achievements (10 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (10 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (7 chunks)"
8,Fighting for Freedom and Citizenship,35,"american, soldier, citizen, battle, war, liberty, attuck, color man, unit, unit state",1855.0,1917.0,"The Colored Patriots of the American Revolution: With Sketches of S... (28 chunks); Old Plantation Days (3 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (2 chunks)"
9,Confrontations with Slave Catchers,33,"miller, madison, store, gavitt, jail, seward, st louis, trial, brown, postlewaite",1810.0,1917.0,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (19 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (2 chunks)"
